year,Services,Finance_and_business_services,Manufacturing,Construction
Jan 00,290,359,363,356
Feb 00,283,337,356,363
Mar 00,297,387,358,357
Apr 00,292,375,366,360
May 00,296,383,362,364
Jun 00,295,381,362,368
Jul 00,298,384,363,369
Aug 00,300,386,363,373
Sep 00,302,390,365,374
Oct 00,302,391,367,380
Nov 00,304,392,369,382
Dec 00,310,412,369,392
Jan 01,308,407,372,387
Feb 01,310,410,373,382
Mar 01,311,409,374,384
Apr 01,312,407,372,391
May 01,311,402,375,396
Jun 01,313,414,376,401
Jul 01,313,404,376,404
Aug 01,315,407,379,407
Sep 01,315,405,380,406
Oct 01,317,406,382,409
Nov 01,318,409,383,408
Dec 01,320,414,383,407
Jan 02,321,414,384,397
Feb 02,319,411,385,409
Mar 02,320,404,387,407
Apr 02,322,411,385,411
May 02,324,413,389,408
Jun 02,326,415,392,408
Jul 02,326,418,393,411
Aug 02,325,417,394,410
Sep 02,326,419,393,412
Oct 02,327,417,395,408
Nov 02,328,418,394,413
Dec 02,327,412,397,413
Jan 03,328,413,397,419
Feb 03,325,417,400,422
Mar 03,332,424,399,428
Apr 03,333,426,400,423
May 03,334,426,403,420
Jun 03,334,424,403,426
Jul 03,336,425,406,424
Aug 03,336,427,407,424
Sep 03,338,429,410,433
Oct 03,340,432,409,435
Nov 03,340,431,415,433
Dec 03,341,418,410,437
Jan 04,343,442,416,438
Feb 04,339,413,415,438
Mar 04,345,437,418,445
Apr 04,348,449,419,442
May 04,349,450,423,445
Jun 04,349,446,423,436
Jul 04,351,450,425,439
Aug 04,354,448,427,442
Sep 04,356,452,430,434
Oct 04,359,462,431,433
Nov 04,359,460,432,442
Dec 04,360,465,434,435
Jan 05,360,462,433,453
Feb 05,360,462,433,438
Mar 05,362,462,435,445
Apr 05,364,468,440,444
May 05,366,468,436,447
Jun 05,367,473,438,445
Jul 05,369,477,440,448
Aug 05,373,485,443,453
Sep 05,374,483,443,456
Oct 05,374,484,444,460
Nov 05,376,489,447,465
Dec 05,377,486,446,466
Jan 06,374,473,448,466
Feb 06,381,514,456,468
Mar 06,382,504,454,467
Apr 06,381,502,457,473
May 06,383,498,456,478
Jun 06,387,515,456,483
Jul 06,387,508,452,486
Aug 06,387,508,457,482
Sep 06,387,499,461,485
Oct 06,390,509,464,488
Nov 06,392,513,463,488
Dec 06,402,544,460,494
Jan 07,399,525,470,490
Feb 07,411,585,471,496
Mar 07,397,519,476,495
Apr 07,399,521,470,495
May 07,402,521,471,497
Jun 07,404,522,476,508
Jul 07,405,527,475,521
Aug 07,407,529,476,522
Sep 07,410,534,477,531
Oct 07,408,531,478,517
Nov 07,411,538,480,528
Dec 07,412,535,481,536
Jan 08,413,542,483,512
Feb 08,428,620,486,516
Mar 08,418,555,485,515
Apr 08,418,544,489,521
May 08,419,550,494,521
Jun 08,418,555,490,522
Jul 08,419,552,492,522
Aug 08,421,552,489,517
Sep 08,422,553,489,528
Oct 08,423,559,492,526
Nov 08,423,551,493,526
Dec 08,425,554,492,521
Jan 09,425,550,491,523
Feb 09,412,494,485,521
Mar 09,401,493,494,524
Apr 09,423,563,495,529
May 09,422,544,493,523
Jun 09,420,542,495,515
Jul 09,421,547,487,522
Aug 09,422,550,496,527
Sep 09,422,547,498,523
Oct 09,423,549,499,531
Nov 09,423,554,502,531
Dec 09,425,558,509,531
Jan 10,426,543,511,532
Feb 10,436,575,511,530
Mar 10,426,552,523,546
Apr 10,424,557,511,527
May 10,427,567,513,521
Jun 10,428,564,510,518
Jul 10,428,561,515,518
Aug 10,430,569,517,518
Sep 10,432,574,517,521
Oct 10,433,576,519,521
Nov 10,434,578,516,521
Dec 10,433,571,520,522
Jan 11,446,614,522,533
Feb 11,442,596,517,540
Mar 11,439,592,526,541
Apr 11,436,589,519,526
May 11,438,592,519,527
Jun 11,443,610,520,533
Jul 11,442,598,523,531
Aug 11,440,587,522,535
Sep 11,440,590,527,535
Oct 11,442,595,524,534
Nov 11,443,596,527,538
Dec 11,442,591,526,537
Jan 12,444,592,526,536
Feb 12,444,589,528,537
Mar 12,443,601,523,546
Apr 12,445,602,530,542
May 12,444,593,534,546
Jun 12,447,600,532,545
Jul 12,449,602,533,540
Aug 12,450,602,536,532
Sep 12,449,596,534,530
Oct 12,448,593,535,535
Nov 12,449,595,535,533
Dec 12,448,590,535,530
Jan 13,449,595,535,523
Feb 13,448,595,538,534
Mar 13,442,586,538,519
Apr 13,460,633,549,560
May 13,453,606,543,539
Jun 13,452,601,545,539
Jul 13,452,594,544,531
Aug 13,452,593,545,540
Sep 13,452,593,543,539
Oct 13,452,590,547,532
Nov 13,452,591,550,532
Dec 13,453,593,550,536
Jan 14,454,592,555,551
Feb 14,458,608,554,538
Mar 14,446,581,552,525
Apr 14,454,594,552,535
May 14,454,596,553,528
Jun 14,455,594,555,541
Jul 14,452,590,553,548
Aug 14,455,598,552,543
Sep 14,458,605,555,547
Oct 14,461,609,555,543
Nov 14,460,607,556,546
Dec 14,464,614,561,551
Jan 15,462,598,556,539
Feb 15,465,613,555,544
Mar 15,465,611,563,555
Apr 15,467,616,561,550
May 15,467,616,558,557
Jun 15,466,604,565,553
Jul 15,469,618,565,563
Aug 15,470,622,565,559
Sep 15,468,616,565,554
Oct 15,469,621,566,558
Nov 15,470,623,567,560
Dec 15,472,629,571,560
Jan 16,474,629,570,571
Feb 16,470,613,568,572
Mar 16,477,637,575,570
Apr 16,478,637,574,581
May 16,477,634,579,587
Jun 16,478,630,578,576
Jul 16,480,638,577,584
Aug 16,479,629,578,580
Sep 16,479,627,579,582
Oct 16,481,630,576,606
Nov 16,483,634,577,591
Dec 16,480,626,577,589
Jan 17,482,632,580,580
Feb 17,484,631,583,587
Mar 17,488,649,581,577
Apr 17,487,643,583,580
May 17,489,647,584,580
Jun 17,493,656,585,586
Jul 17,488,645,589,588
Aug 17,491,650,589,595
Sep 17,493,656,591,603
Oct 17,493,647,593,606
Nov 17,494,647,595,601
Dec 17,496,653,596,604
Jan 18,493,647,597,608
Feb 18,497,654,596,604
Mar 18,503,663,599,614
Apr 18,498,653,600,612
May 18,500,654,598,610
Jun 18,502,660,598,615
Jul 18,504,666,602,608
Aug 18,507,665,600,620
Sep 18,507,665,603,619
Oct 18,515,674,604,625
Nov 18,510,673,604,627
Dec 18,513,673,606,638
Jan 19,513,678,610,631
Feb 19,515,676,608,637
Mar 19,516,679,605,632
Apr 19,519,687,615,653
May 19,521,689,613,648
Jun 19,522,694,615,648
Jul 19,524,693,616,652
Aug 19,524,695,619,649
Sep 19,526,699,617,657
Oct 19,527,697,620,650
Nov 19,528,699,622,649
Dec 19,528,696,620,650
Jan 20,530,699,620,655
Feb 20,528,692,621,653
Mar 20,523,678,615,633
Apr 20,520,687,592,582
May 20,519,688,595,578
Jun 20,518,676,593,590